id,client_id,variation
1,9988021,Test
2,8320017,Test
3,4033851,Control
4,1982004,Test
5,9294070,Control
6,9466803,Test
7,3170143,Test
8,6651403,Control
9,5887227,Test
10,2105948,Control
11,438567,Test
12,2519971,Test
13,9814849,Control
14,5407849,Test
15,7286739,Control
16,4446011,Control
17,5308474,Test
18,2991219,Test
19,2354414,Test
20,949210,Test
21,4229407,Control
22,9987707,Test
23,2709011,Test
24,4507502,Test
25,2842481,Control
26,2317698,Test
27,3013805,Test
28,1218661,Control
29,2965703,Test
30,1712929,Control
31,2328234,Test
32,800925,Control
33,6685654,Test
34,8766054,Test
35,4726500,Test
36,9504867,Test
37,1242238,Control
38,7800773,Test
39,9477476,Control
40,1338778,Control
41,6584990,Control
42,7859827,Test
43,7407692,Test
44,7040762,Control
45,9900469,Test
46,5169372,Control
47,5267250,Control
48,2079440,Test
49,5376894,Test
50,3751049,Control
51,8240010,Test
52,6110816,Test
53,2550129,Test
54,9912156,Control
55,7690370,Test
56,9885354,Test
57,1962381,Test
58,229701,Control
59,2818303,Control
60,6229916,Test
61,9358626,Control
62,4773291,Control
63,4953263,Control
64,522661,Test
65,3754789,Control
66,3066535,Control
67,9545426,Control
68,4778144,Control
69,2000786,Control
70,1532932,Test
71,9096386,Test
72,6986475,Control
73,7996704,Control
74,2211277,Test
75,9268841,Test
76,4213800,Control
77,1763518,Control
78,7485024,Test
79,2437471,Control
80,1628554,Test
81,9744906,Test
82,7289266,Control
83,3883711,Test
84,8123801,Test
85,598943,Control
86,8491121,Test
87,8861901,Control
88,6853744,Control
89,1404893,Control
90,768936,Test
91,5408845,Test
92,9336495,Control
93,4744361,Control
94,2397739,Test
95,2136502,Test
96,7501437,Test
97,9628154,Control
98,9293919,Control
99,5318449,Test
100,5022038,Test
101,2565373,Control
102,5745157,Test
103,6653427,Test
104,6071019,Control
105,632316,Test
106,1152171,Test
107,8188670,Control
108,1021747,Test
109,226198,Test
110,6216233,Control
111,1846219,Test
112,2093449,Test
113,7902892,Test
114,722917,Test
115,4747144,Control
116,2199722,Test
117,2235331,Test
118,8313694,Control
119,2382696,Test
120,2679453,Control
121,7276973,Control
122,4532572,Test
123,8771952,Test
124,5256566,Control
125,1342790,Control
126,9775174,Test
127,3703187,Test
128,2769120,Control
129,6031726,Test
130,8870709,Control
131,2145511,Control
132,461846,Control
133,4878112,Control
134,843249,Test
135,5018154,Test
136,9414396,Control
137,6650565,Control
138,2062199,Control
139,6682559,Test
140,9516496,Test
141,3382939,Test
142,7833565,Test
143,9448266,Test
144,2406356,Test
145,7112284,Control
146,6141432,Control
147,2015197,Control
148,5429577,Control
149,1636347,Control
150,4577314,Control
151,3068817,Test
152,2358419,Test
153,6283739,Control
154,8289357,Test
155,1423857,Control
156,117916,Test
157,2810561,Test
158,2040881,Control
159,6547909,Control
160,9774553,Test
161,203702,Control
162,2336869,Control
163,3638107,Control
164,391025,Control
165,6954534,Test
166,7636277,Control
167,8100455,Test
168,3548541,Test
169,2050360,Test
170,8675285,Test
171,868124,Control
172,8241574,Test
173,559169,Control
174,2276090,Control
175,1095432,Test
176,3036660,Control
177,5546524,Control
178,3544855,Test
179,7474517,Control
180,7212234,Test
181,9207047,Test
182,452583,Control
183,7762269,Test
184,7599262,Test
185,945176,Control
186,7690452,Test
187,5537612,Test
188,4256611,Test
189,2889049,Control
190,137412,Test
191,171492,Test
192,668996,Control
193,8076294,Control
194,8893466,Test
195,4727155,Test
196,4493573,Test
197,2797397,Control
198,6480779,Control
199,257840,Test
200,7340414,Control
201,5221768,Test
202,2306578,Test
203,9700346,Test
204,192518,Test
205,5163125,Control
206,5821983,Control
207,1884538,Control
208,902895,Test
209,841242,Control
210,872142,Control
211,3480918,Test
212,8203999,Test
213,617840,Control
214,1929698,Control
215,8963925,Test
216,7758940,Test
217,8319726,Test
218,298590,Test
219,2856502,Test
220,6930182,Test
221,965266,Control
222,2465098,Test
223,1667380,Test
224,8701900,Test
225,5133382,Test
226,913704,Test
227,1519456,Test
228,8424645,Control
229,7284366,Test
230,1933359,Test
231,4506445,Test
232,8366788,Test
233,7214811,Test
234,6819326,Control
235,2475049,Control
236,6394423,Test
237,3081313,Control
238,9292160,Test
239,493311,Control
240,4470019,Test
241,6442081,Test
242,8416851,Control
243,1938076,Test
244,1907109,Test
245,2852997,Control
246,7979476,Test
247,5255030,Test
248,3633784,Test
249,7161996,Test
250,9707270,Control
251,4772716,Control
252,9888375,Control
253,1161478,Test
254,7669299,Test
255,3827180,Control
256,1970830,Control
257,1640688,Control
258,676552,Test
259,3399501,Test
260,3543788,Test
261,7902599,Test
262,8068308,Control
263,4638153,Control
264,1788838,Control
265,693101,Test
266,6520285,Test
267,9997114,Control
268,3286605,Control
269,1751757,Test
270,1064690,Control
271,2038707,Control
272,297472,Control
273,2160702,Control
274,2289897,Control
275,4657902,Test
276,6960009,Control
277,6665317,Test
278,2057773,Control
279,7523181,Control
280,5324253,Test
281,860745,Control
282,5340072,Test
283,5226626,Test
284,4520186,Test
285,219230,Control
286,3369137,Control
287,7479054,Control
288,4244891,Test
289,4384098,Control
290,7582150,Control
291,8308363,Test
292,8165914,Test
293,3520993,Control
294,5645966,Control
295,9378146,Control
296,148369,Test
297,5192659,Test
298,7007069,Control
299,127921,Test
300,3310785,Control
301,7423412,Control
302,8279228,Test
303,588240,Control
304,7699381,Control
305,7046133,Control
306,9364005,Test
307,5459195,Test
308,6442655,Test
309,7449461,Test
310,4963381,Test
311,6456062,Control
312,4823947,Control
313,8860992,Control
314,530654,Control
315,3347759,Control
316,7873338,Control
317,169185,Test
318,6980919,Test
319,6519269,Test
320,1638971,Test
321,7984549,Test
322,4137841,Test
323,459221,Test
324,3430793,Test
325,4853470,Test
326,8696517,Control
327,5751565,Test
328,3968370,Control
329,1718250,Test
330,6058534,Test
331,6597561,Control
332,6098661,Test
333,8861365,Test
334,2346575,Test
335,7973780,Control
336,5119497,Control
337,2532775,Test
338,3155140,Control
339,924852,Test
340,8330343,Test
341,8607482,Test
342,4827059,Control
343,4785260,Test
344,4778491,Test
345,7200160,Test
346,304982,Control
347,7177069,Test
348,9059531,Control
349,3130496,Test
350,7705990,Test
351,133101,Control
352,2790745,Test
353,2498676,Test
354,8988721,Control
355,6224299,Control
356,3217890,Control
357,9403921,Control
358,2356366,Control
359,453167,Control
360,372523,Control
361,2611324,Test
362,8766886,Test
363,3106431,Test
364,5615453,Test
365,7087847,Control
366,8760103,Test
367,5786954,Test
368,3175977,Test
369,5124813,Test
370,7221996,Test
371,7422759,Control
372,8609229,Test
373,9176963,Test
374,589292,Test
375,5417457,Control
376,863704,Control
377,117276,Test
378,7441896,Control
379,7763445,Test
380,7359292,Test
381,4101033,Control
382,1180583,Control
383,246429,Test
384,395074,Test
385,6006542,Test
386,1424799,Test
387,4251309,Test
388,5026927,Test
389,8512093,Test
390,8959766,Test
391,413157,Control
392,7448926,Control
393,806192,Test
394,1542033,Test
395,3432043,Test
396,1406408,Test
397,4694039,Test
398,2155192,Test
399,2657900,Control
400,4514754,Control
401,1673947,Control
402,4961256,Test
403,3413971,Control
404,2323637,Test
405,1209140,Test
406,85097,Control
407,2262795,Control
408,4501407,Test
409,5593703,Test
410,1461831,Test
411,5867403,Test
412,8825647,Control
413,2314843,Test
414,219207,Test
415,3535465,Test
416,4878070,Test
417,7337058,Control
418,3498908,Control
419,77276,Test
420,4630285,Control
421,5667617,Test
422,8184247,Control
423,7787684,Control
424,4247007,Control
425,7644707,Test
426,8620721,Control
427,1818956,Control
428,2211868,Control
429,5437254,Test
430,3584819,Control
431,6303538,Control
432,897477,Control
433,8003648,Control
434,5456658,Control
435,3846126,Test
436,5673767,Test
437,2558586,Test
438,4008787,Test
439,6917138,Test
440,2333006,Control
441,9067031,Test
442,7761694,Test
443,2043345,Test
444,4209246,Test
445,5238758,Test
446,1373405,Test
447,8277940,Control
448,2735635,Test
449,5567038,Test
450,4239711,Control
451,9635244,Control
452,2798211,Test
453,2915635,Test
454,947738,Test
455,3444839,Test
456,9797297,Control
457,5176958,Control
458,759780,Test
459,4985317,Test
460,3910595,Test
461,6688350,Test
462,6405208,Test
463,2986194,Test
464,1651697,Control
465,6503101,Test
466,9103724,Control
467,2561883,Test
468,7873226,Control
469,9922958,Test
470,323950,Control
471,932489,Test
472,6781849,Control
473,467861,Test
474,7430424,Control
475,7458004,Control
476,8753284,Test
477,9052277,Test
478,1428836,Test
479,2480352,Test
480,5896556,Control
481,3716868,Test
482,993682,Control
483,4036374,Control
484,1330036,Test
485,6325731,Test
486,8750191,Control
487,1720728,Test
488,9004679,Control
489,4342700,Control
490,8723963,Test
491,2458751,Test
492,5203477,Test
493,6405391,Test
494,2374507,Test
495,3011265,Control
496,3029315,Test
497,9164248,Test
498,6450029,Control
499,7045324,Test
500,3582059,Test
501,6773537,Test
502,1314809,Control
503,2615801,Test
504,7375067,Control
505,7159966,Test
506,4575187,Test
507,667534,Test
508,8604038,Control
509,2617114,Control
510,3436975,Control
511,119599,Test
512,7574730,Test
513,3362712,Control
514,42296,Control
515,3695514,Control
516,1192384,Control
517,4590361,Control
518,5543024,Test
519,7546085,Test
520,3072060,Test
521,1928906,Control
522,512833,Control
523,9089805,Control
524,5397802,Test
525,2888193,Control
526,4778460,Control
527,6199584,Test
528,7192558,Test
529,9102754,Test
530,3576255,Test
531,6346672,Control
532,1274510,Test
533,8283444,Control
534,3519145,Test
535,4390568,Control
536,5694063,Test
537,3602152,Test
538,4065760,Test
539,69568,Test
540,2420923,Test
541,5848027,Control
542,6522942,Test
543,1272344,Test
544,8957739,Test
545,8337830,Control
546,572617,Test
547,7744581,Test
548,3045158,Control
549,6747525,Control
550,7258442,Control
551,7746715,Test
552,1486118,Control
553,3563844,Test
554,9493365,Test
555,985881,Test
556,9792423,Test
557,7037852,Control
558,6767637,Control
559,8735726,Control
560,5914359,Test
561,1983898,Control
562,8930597,Control
563,1892008,Control
564,9889913,Test
565,1468125,Control
566,3025507,Control
567,529710,Test
568,9842475,Control
569,4343885,Control
570,4876132,Test
571,7829568,Test
572,8472274,Test
573,7475482,Control
574,6371350,Test
575,838584,Test
576,8526665,Control
577,9865882,Control
578,4717090,Control
579,1289178,Test
580,3412472,Control
581,6766816,Test
582,6774011,Test
583,3649806,Test
584,1034218,Test
585,4448805,Control
586,3766837,Test
587,9231655,Control
588,6296222,Test
589,2200779,Test
590,5027124,Control
591,1432979,Control
592,3999559,Test
593,3671491,Control
594,3179230,Test
595,9748979,Control
596,3590487,Test
597,8874319,Test
598,8691226,Test
599,9513138,Control
600,7884558,Test
601,1090478,Test
602,1304240,Test
603,2681612,Control
604,851930,Control
605,1344982,Test
606,5171271,Test
607,6602680,Test
608,2447231,Test
609,5631396,Test
610,6833110,Control
611,4960901,Control
612,2189750,Test
613,9455754,Test
614,209511,Control
615,741785,Control
616,2855888,Control
617,9083686,Control
618,2645953,Control
619,903457,Control
620,3039540,Test
621,4730612,Test
622,2763314,Control
623,3453411,Test
624,5212054,Control
625,1344819,Control
626,8681644,Control
627,8125499,Test
628,7271587,Test
629,964596,Test
630,2675819,Control
631,8852099,Control
632,7465287,Test
633,8132181,Test
634,5759626,Test
635,2900782,Control
636,2963107,Control
637,8862044,Control
638,7433366,Control
639,133487,Control
640,7470213,Test
641,6809622,Test
642,1616582,Test
643,9159465,Test
644,494597,Test
645,4503552,Control
646,3089722,Control
647,9641810,Control
648,985046,Test
649,192160,Test
650,6233261,Test
651,6332820,Control
652,2623927,Control
653,8839288,Test
654,495241,Test
655,5195063,Test
656,7878552,Control
657,2312741,Test
658,7633966,Control
659,6717348,Test
660,3502824,Control
661,614865,Test
662,7702732,Test
663,1711408,Test
664,1399670,Control
665,157106,Test
666,1696504,Control
667,4243376,Test
668,2606054,Test
669,4369578,Test
670,7597104,Control
671,9221129,Test
672,8225520,Test
673,595691,Test
674,6464033,Test
675,4211505,Control
676,9335333,Test
677,1192407,Test
678,9824178,Test
679,1087333,Test
680,3982600,Control
681,1290643,Test
682,728102,Test
683,763504,Test
684,629229,Test
685,2892822,Test
686,219038,Test
687,3387907,Control
688,951327,Test
689,4857096,Control
690,7258987,Test
691,5240348,Control
692,9219098,Control
693,6521093,Control
694,3421393,Control
695,2025761,Control
696,3119062,Test
697,6740819,Control
698,6053599,Control
699,7606536,Control
700,3206726,Control
701,2128160,Control
702,2019649,Test
703,1194245,Control
704,2681771,Test
705,8295735,Control
706,312984,Control
707,2839247,Control
708,9661060,Test
709,5732744,Control
710,3973582,Test
711,4620465,Test
712,6115514,Test
713,6479455,Test
714,5363445,Control
715,6981798,Control
716,8031718,Control
717,1262291,Control
718,8770403,Control
719,1348442,Control
720,566137,Test
721,3861702,Control
722,4693102,Control
723,5398009,Test
724,5015824,Test
725,9542428,Control
726,8348798,Test
727,4608580,Control
728,2263719,Control
729,2612667,Test
730,1213524,Test
731,1344421,Test
732,8555070,Control
733,2787512,Control
734,9534176,Control
735,2588637,Test
736,2615052,Test
737,965179,Test
738,273469,Test
739,6651108,Test
740,7460349,Control
741,3197853,Test
742,844271,Test
743,8774888,Test
744,6382757,Test
745,8501430,Control
746,6724494,Test
747,7804581,Control
748,8095423,Control
749,8264879,Test
750,6374406,Control
751,2717233,Test
752,9837096,Control
753,4281763,Test
754,9112089,Control
755,7887156,Control
756,743037,Control
757,3825646,Control
758,6948287,Test
759,3060095,Test
760,9696533,Control
761,4701896,Test
762,4743022,Control
763,2491891,Test
764,589393,Test
765,6033805,Control
766,7690775,Control
767,466526,Control
